slug;title;promo;duration;presentType;audience;benefits;plan;priceFull;priceDisc;pending
atomport;Атом.Порт – система управления конфигурациями;Курс о том, как быстро и безопасно мигрировать рабочие станции с иностранного на отечественное ПО;2;Онлайн;Бесплатный курс для всех желающих IT-специалистов, а особенно:;Курс поможет вам успешно справиться с массовым импортозамещением ПО на рабочих станциях в вашей компании, а также даст возможность структурировать знания по SaltStack и ознакомиться с системой Атом.Порт. Вы научитесь эффективному управлению системами Атом.Порт и SaltStack, включая автоматизацию, миграцию, обновление и безопасность рабочих станций.;"Атом. Порт Вы разберетесь с особенностями системы управления конфигурациями Атом.Порт, рассмотрите главный интерфейс и научитесь быстро мигрировать рабочие станции с иностранного на отечественное ПО Знакомство с курсом Проблематика и существующие подходы к управлению конфигурациями Обзор интерфейса Атом.Порт Подключение рабочей станции к ПК Сценарии миграции Обзор пунктов главного меню Работа с фильтрами Задачи Создание и управление автоматизацией Инструмент ""Правила"" Отчеты SaltStack В этом модуле вы изучите базовые особенности SaltStack, сможете настроить систему для своих нужд и даже разработать собственный модуль Знакомство с SaltStack YAML Администрирование SaltStack Использование SaltStack Шаблонизатор формул Jinja Пишем модули SaltStack Карьера в Росатоме и заказ Атом.Порт В данном модуле вы узнаете, как построить карьеру в Росатоме или заказать Атом.Порт для нужд вашей организации Дальнейшие шаги Карьерный портал Росатома Также вы можете получить полную программу, чтобы убедиться, что обучение вам подходит Получить";0;0;0
symfony;Symfony Framework;Владение Symfony — новый уровень для PHP-разработчика;4;Онлайн;" Для PHP-разработчиков, которые стремятся поднять свой уровень до middle+ и senior+ Курс рассчитан на PHP-разработчиков со средним опытом работы от двух лет. Необходимые знания: знание PHP 8+; знание принципов ООП, MVC, паттернов (хотя бы нескольких); опыт работы с базовыми операциями с БД; умение настраивать среду разработки; навыки работы с VM/Docker. Будут плюсом: навыки работы с Git, Gitflow; опыт работы с MVC-фреймворком.";"Symfony — один из самых сложных, надежных и высокопроизводительных PHP-фреймворков. Он по праву считается основным фреймворком для решения задач уровня enterprise . Symfony используют многие популярные проекты, например, Drupal, phpBB. Даже самый популярный PHP-фреймворк Laravel построен на основе Symfony. Преподаватели-практики тебе помогут освоить фреймворк Symfony, а также научат решать enterprise-задачи. Вы научитесь: использовать Symfony в проектах; обеспечивать безопасность приложения; тестировать и мониторить полученный код; использовать встроенные инструменты фреймворка; разворачивать приложения в различных окружениях.";Знакомство с фреймворком. Пишем базовый функционал В качестве объекта разработки можно написать таск-трекер или ту же систему бронирования мест в кино. Вводное занятие и выбор проектной работы Установка и «Hello, world» DI и сервисы Doctrine ORM Doctrine Migrations Doctrine. Дополнительные возможности Маршрутизация и HttpFoundation Углубляемся в нюансы работы с фреймворком, изучая его более сложные встроенные компоненты. Учимся организовывать роутинг, работу с пользователем и Stateless-приложения. Контроллеры и маршрутизация Компонент HttpFoundation Слой DTO. Валидация Twig и Symfony Forms Авторизация и аутентификация Stateless API REST-приложения и API Platform Внедряем GraphQL Интеграция с другими сисми Изучаем обёртки для работы с различным функционалом, знакомимся с посредниками, командами, шинами и доменами логики. Логирование и мониторинг Кэширование Очереди начало Очереди расширенные возможности Полнотекстовый поиск, Elastica Тестирование и развёртывание Когда логика нашего приложения написана, нам нужно правильно протестировать её автотестами и доставить до пользователя. В данном модуле мы научимся делать и то и другое. Unit-тестирование Консольные команды в Symfony Интеграционное тестирование NelmioApiDocBundle и документация API Развёртывание приложения Symfony Advanced practices Переходим к тесной работе со Stateless-логикой и микросервисами в частности. Symfony Bundles и пакеты Декомпозируем приложение Symfony Messenger DDD в Symfony, часть DDD в Symfony, часть Проектная работа Разрабатываем курсовой проект на базе фреймворка Symfony. Вы можете предложить свой проект или выбрать из предлагаемых вам. Консультация по проектам и домашним заданиям Защита проектных работ Подведение итогов курса Также вы можете получить полную программу, чтобы убедиться, что обучение вам подходит Получить;85000;76500;0
system_analyst;Системный аналитик. Advanced;Прокачайте свои навыки системного анализа до Middle+ уровня и улучшите скиллы проектирования ПО;6;Онлайн; Курс рассчитан на ИТ-аналитиков и системных аналитиков с опытом работы от 1-2 лет, желающих улучшить свои навыки в области системного анализа, выявления и описания требований, проектирования информационных систем и приложений. Так же курс может быть интересен аналитикам данных, дата-сайентистам и бизнес-аналитикам с опытом работы от 3-х лет. Необходимые знания Опыт работы в системном анализе от 1 года или опыт работы в ИТ (бизнес-аналитик, дата-аналитик, проджект-менеджер, разработчик) от 2-х лет Опыт подготовки пользовательской/эксплуатационной документации Опыт сбора, выявления и систематизации требований Понимание принципов SQL, умение писать простые запросы на выборку данных;Программа курса позволяет системным аналитикам с опытом работы расширить свой кругозор и профессиональные компетенции в области проектирования и разработки ПО за счет погружения в технические аспекты информационного и архитектурного проектирования приложений с одной стороны и за счет увеличения аналитических компетенций с точки зрения процесса создания ценности ПО с другой стороны. Кроме того, наша программа позволяет специалисту в области системного анализа точно позиционировать себя внутри компании и на рынке труда, четко определив круг профессиональных навыков и компетенций. После обучения вы сможете Четко и структурированно выявлять потребности и формализовывать их в виде требований Эффективно использовать средства визуализации требований (моделирование бизнес-процессов, разработка диаграмм с помощью языка UML) Проектировать и тестировать сервисы RESTFul API и сравнивать их с SOAP и gRPC Проектировать информационные модели, архитектуру и структуры хранения данных систем и приложений Проектировать интеграционные взаимодействия между приложениями с использованием веб-сервисов и не только Понимать изнутри процесс разработки: декомпозиция задач, работа с системами контроля версий;"Системный анализ в структуре разработки ПО Модуль позволяет синхронизировать общее представление о роли аналитика и определить навыки, которые будут сформированы в процессе обучения. Примечание знаком камеры (🎦) обозначены занятия, в которых есть теория для ознакомления перед занятием в формате видео. Обзорное занятие 🎦 Процесс разработки ПО. Waterfall. Системный анализ в Agile командах Обследование, работа с требованиями В рамках модуля подробно рассматриваются наиболее эффективные приемы выявления и обработки требований, а также рекомендации по их трассировке и управлению. Примечание знаком камеры (🎦) обозначены занятия, в которых есть теория для ознакомления перед занятием в формате видео. 🎦 Основные виды требований. Основные способы выявления требований. Подготовка к обследованию для выявления требований 🎦 Нефункциональные требования. Классификация, способы выявления, влияние на продукт Практикум . Групповая работа. Выявление требований Обработка и визуализация требований Моделирование БП 🎦 Обработка и визуализация требований Моделирование БП BPMN Практикум . Работа с нотацией BPMN 🎦 Задачи документирования требований. Use Case Практикум . Документирование требований Use Case 🎦 Задачи документирования требований. User Story Практикум . Документирование требований. User Story Прототипирование, как инструмент работы с требованиями Согласование требований. Управление изменениями, трассировка требований Проектирование ПО В модуле рассматриваются ключевые аспекты проектирования приложения информационная модель и компонентная архитектура. 🎦 Этапы, задачи и виды проектирования Проектирование информационной модели приложения. Объектно-ориентированный подход Domain Driven Design для построения модели предметной области Практикум . Разработка базовой информационной модели Архитектура информационных систем. Монолиты, SOA и микросервисы Методология интеграций приложений Брокеры очередей и варианты их использования Паттерны микросервисной архитектуры Практикум . Разработка архитектуры приложения Проработка интеграционного взаимодействия Консультация по проектам и домашним заданиям Проектирование API В модуле с нуля проектируется REST API для создаваемого приложения. Принципы работы API. RESTful API vs SOAP Проектирование структуры API собственного приложения, документирование API 🎦 Практикум . Проектирование ресурсной модели Open API Наложение API на интеграцию фронтенд и бэкэнд части Практикум . Групповая работа. Управление изменениями и трассировка требований Анализ данных Модуль посвящён наиболее новой области знания для СА — работе с данными, как с источниками и инструментом расширения, и обогащения требований. Базовые и продвинутые SQL процедуры на примере PostgreSQL Обобщенные табличные выражения (CTE) и оконные функции Анализ данных в PowerBI Практикум . Анализ данных с помощью Excel, SQL, PowerQuery Проектирование и работа с SQLNoSQL БД Модуль посвящён базам данных и ключевым аспектам участия СА в работе с БД. SQL vs NoSQL. Особенности и хитрости работы с реляционными базами данных. Аспекты их применения Возможности и примеры использования NoSQL баз данных Подходы к проектированию баз данных Способы прогнозирования нагрузки на приложения. Способы повышения производительности БД Практикум . Доработка архитектуры приложения с учетом предполагаемой нагрузки Сопровождение процесса разработки В этом модуле рассматриваются ключевые аспекты работы аналитика после завершения проектирования постановка и контроль выполнения задач; производство и приемка результатов работ. Сложности декомпозиции задач, критерии готовности и приемка Подходы к оформлению проектной документации Системы контроля версий. GitFlow. Автоматизация доставки кода. CI\CD Практикум . Работа с репозиториями Контроль качества ПО Практикум . Тестирование ПО Тестирование API Проектная работа Заключительный месяц курса посвящён проектной работе. Свой проект — это то, что интересно писать слушателю. То, что можно создать на основе знаний, полученных на курсе. При этом не обязательно закончить его за месяц. В процессе написания по проекту можно получить консультации преподавателей. Консультация по проектам и домашним заданиям Защита проектных работ Подведение итогов курса Также вы можете получить полную программу, чтобы убедиться, что обучение вам подходит Получить";131000;117900;0
windows-professional;Администратор Windows;Изучите Windows на продвинутом уровне и расширьте свои карьерные возможности в IT;5;Онлайн; Для начинающих системных администраторов, которые стремятся стать профессионалами и вырасти в зарплате Для системных администраторов, которые хотят обладать действительно востребованными на job-сайтах навыками Для системных администраторов, которые планируют дальнейшее развитие в рамках своей компании или перейти в крупную компанию, но не хватает компетенций Для системных администраторов, которые хотят систематизировать и значительно расширить свои знания для эффективного управления инфраструктурой Для специалистов, желающих добавить к своим компетенциям актуальные навыки работы с Windows Для эникейщиков и специалистов техподдержки для повышения квалификации и перехода в новую профессию Специалистов, которые чувствуют неуверенность в своих знаниях Windows Для руководителей, которым необходимы знания по инфраструктуре на базе Windows Необходимые знания Базовые навыки администрирования Windows систем Базовые знания компьютерных сетей, маршрутизации, IP-сетей, систем виртуализации Знание основ PowerShell Общие представления об Active Directory и структуре каталогов;Вы освоите все необходимые навыки для уверенного адиминистрования Windows. Научитесь определять узкие места и точки роста в инфраструктуре компании. Овладеете средствами и методами решения задач бизнеса путем адаптации под них инфраструктуры После обучения вы научитесь: Профессионально проектировать Windows-инфраструктуру Грамотно разворачивать Active Directory Оптимизировать инфраструктуру под нужды компании Использовать Powershell для автоматизации задач Интегрировать другие IT-системы с действующей инфраструктурой Уверенно поддерживать стабильность и усиливать безопасность IT-системы;Windows Server, Active Directory В этом модуле мы рассмотрим задачи связанные с внедрением Active directory, Разберем кейсы с инсталляцией сервисов, управление и автоматизацией рутинных задач. Поднимем вопросы безопасности и мониторинга. Инфраструктура Windows DNS и DHCP службы Скрипты на PowerShell Групповая политика Практика работы с групповой политикой Парольная защита. Защита сайтов и служб в домене Делегирование разрешений Active Directory Мониторинг безопасности Windows и сеть В этом модуле мы рассмотрим задачи сетевой доступности в os windows. Настроим фаервол, получим отчет о доступах в систему, настроим RDP сервер, рассмотрим веб сервер от microsoft. Windows Firewall для фильтрации нежелательного трафика Статическая и динамическая маршрутизация в Windows Установка основного сервера центра сертификации, подчинённого сервера Шаблоны сертификатов Роли терминального сервера Приложения в терминальном сервере Internet Information Services (IIS) SSL сертификат Запрос и создание сертификатов - MMC, PowerShell, web interface Мониторинг серверов Windows и резервное копирование В этом модуле мы рассмотрим задачи c мониторингом и резервным копированием. Научимся читать логи которые помогают в решение проблем. Метрики производительности Мониторинг серверов Windows Задачи мониторингаWindows Admin Center Бекап и восстановление Windows Server Логирование PowerShell для удалённого администрирования систем PowerShell - управление ролями сервера и службами PowerShell - управление пользователями Файловые сервисы и учёт систем хранения данных В этом модуле мы рассмотрим файловые серверы которые позволят разграничить доступ по правам и защитим наши файлы от потери данных. Доступ и управление файлами Пространство имен DFS Linux подключение в Active directory Настройка масштабируемых и кластерных файловых серверов Windows Проектная работа Проектная работа позволит нам укрепит наши знания полученные от данного курса, создадим с Вами полноценный проект от microsoft который будет полноценно готов к деплою в боевую инфраструктуру. Выбор темы и организация проектной работы Консультация по проектам и домашним заданиям Защита проектных работ Подведение итогов курса Также вы можете получить полную программу, чтобы убедиться, что обучение вам подходит Получить;69000;62100;0
cpp-professional;C++ Developer. Professional;Научитесь писать корректный код, учитывая возможности новых стандартов вплоть до C++23;5;Онлайн; Для разработчиков C++ Junior или Middle, желающих улучшить свои навыки Разработчики Java/Python, стремящиеся расширить инструменты для более эффективной разработки программ Необходимые знания: Синтаксис языка программирования стандарта C++03: переменные, функции, указатели, классы, структуры, union, переопределение операторов, наследование, исключения, понимание шаблонов в языке C++ Основы computer science: простые алгоритмы и их оценки сложности, структуры данных и их применение, принципы работы с памятью - стек, heap Основы SQL – некоторые уроки посвящены изучению работы с базами данных Основы многопоточного программирования: понятие deadlock не должно ставить Вас в deadlock;"Апгрейд навыков под потребности топовых IT-компаний и решение актуальных вызовов. После обучения вы: Структурируете и расширите ваши знания о С++: Получите понимание современных проблем языка и специфики его применения; Освоите паттерны проектирования и принципы написания многопоточного кода; Узнаете, как взаимодействовать с сетью, хранить и обрабатывать большие объемы данных; Однозначно научитесь правильно писать код на С++. Изучите особенности применения новых стандартов С++ 20 и 23. Выполните 14 практических работ с поддержкой наших экспертов, каждая из которых даст сильную базу для использования С++ в различных областях. В том числе итоговую работу, которую можно будет включить в портфолио для работодателя.";Современный C++ CICD. C++. C++. C++. Управление памятью. Шаблонная магия Сис сборки build, test and deploy Особенности C++. auto, lambda, tuple Особенности C++. Move, variadic templates Сравнение C++C++ с С++ Реализация умных указателей Идея аллокаторов Шаблонная магия Обзор C++. Constexpr lambda. Fold expression. Attributes. Type deduction Обзор C++. If constexpr. Structured bindings. Statements with initializer. stdfilesystem Обзор С++. Ranges, модули, концепты, format Обзор С++. Корутины, expected, generator, stacktrace Архитектура Принципы проектирования ПО, GRASP, шаблоны GoF, STL, Boost Принципы проектирования ПО GRASP Шаблоны GoF. Порождающие Шаблоны GoF. Структурные Шаблоны GoF. Поведенческие. Command, Interpreter, Iterator, Mediator, Memento, Chain of responsibilily Шаблоны GoF. Поведенческие. Observer, State, Strategy, Template method, Visitor STL. Контейнеры STL. Алгоритмы Бонус. Красно-чёрные деревья Boost. Разное Boost. Паттерны проектирования Бонус. Хэш-функции и хэш-таблицы Параллельные вычисления Использование многопоточности, паттерны многопоточных приложений, асинхронный подход к решению задач, LockFree техника, особенности атомарных операций в C++. Многопоточность Шаблоны Асинхронное программирование Lockfree DS Атомарные типы данных Сеть Основные принципы сетевого взаимодействия, использование библиотеки Boost.Asio Выбор темы и организация проектной работы Сетевое взаимодействие Асинхронный вводвывод Хранилища Различные системы хранения данных - РСУБД и NoSQL системы, схема mapreduce для обработки большого количества данных, ORM системы для автоматизации. РСУБД Key Value Много данных ORM ML Задачи, которые решаются с помощью алгоритмов машинного обучения. Инференс ML моделей в C++ Интеграция с ML библиотеками Проектная работа Заключительная часть курса о программировании на С++ посвящена проектной работе. Мало что доставляет столько же удовольствия, как самостоятельно реализованный проект на выбранную самостоятельно тему на основе знаний, полученных на курсе. В процессе написания (и даже в процессе выбора темы) можно получить консультации преподавателей. При удачном стечении обстоятельств (в основном, при наличии должного усердия со стороны студента) проект станет достойным примером кода, который можно будет показывать потенциальным работодателям в качестве портфолио. Таким образом обучение программированию завершится большой практической работой, и вы будете гордиться тем, что сделали своими руками. Консультация по проектам и домашним заданиям Защита проектных работ Подведение итогов курса Также вы можете получить полную программу, чтобы убедиться, что обучение вам подходит Получить;135000;121500;0
algorithm;Алгоритмы и структуры данных;Развивайте алгоритмическое мышление, увеличивайте производительность программ;5;Онлайн; Для junior-программистов: сможете усовершенствовать фундаментальные навыки программирования и претендовать на позиции уровня middle в крупных компаниях Для бэкенд- и фронтенд-разработчиков на любых языках программирования: прокачаете алгоритмическое мышление, узнаете, как увеличивать производительность программ, сможете претендовать на позиции уровня senior Необходимые знания Начальный или средний уровень программирования на любом языке Элементарная математика на уровне средней школы Минимальное знание алгоритмов и структур данных;В программу курса «Алгоритмы и структуры данных» входят самые известные прикладные алгоритмы (например, жадные алгоритмы и бинарный поиск): их должны знать все претенденты на позиции middle и senior в крупных IT-компаниях. Также мы разберём способы решения задач по программированию олимпиадного уровня. Вы изучите: простые алгоритмы и базовые структуры данных алгоритмы сортировки деревья поиска хеш-таблицы теорию графов алгоритмы на строках динамическое программирование олимпиадное программирование вероятностные алгоритмы После обучения сможете повысить производительность программ и улучшить качество кода приобретёте опыт реализации классических алгоритмов поймёте, как создавать собственные алгоритмы для решения бизнес-задач;Простые алгоритмы и базовые структуры данных В первом модуле мы научимся решать комбинаторные задачи полным перебором с использованием вложенных циклов и рекурсии, сравним эффективности различных алгебраических алгоритмов, поработаем с битовой арифметикой на примере шахматной доски, а также напишем реализацию базовых структур данных, которые вы будете использовать при составлении программ в рамках этого курса. Циклы и рекурсия Как выполнять домашние задания Алгебраические алгоритмы Базовые структуры данных Битовая арифметика Алгоритмы сортировки В этом модуле мы рассмотрим самые разные алгоритмы сортировки данных, начиная самыми медленными и заканчивая эффективными алгоритмами, которые работают за линейное время, также мы напишем алгоритм внешней сортировки, когда все данные не могут быть загружены в память программы. На последнем занятии мы рассмотрим алгоритм нахождения порядковых статистик за линейное время. Простые сортировки Пирамидальная сортировка Быстрая и внешняя сортировка Линейная сортировка Деревья поиска В этом модуле мы окажемся в заповеднике деревьев поиска, познакомимся с их разновидностями, особенностями, правилами добавления и удаления элементов, методами балансировки на больших и малых поворотах. Вы узнаете про АВЛ и красно-чёрные деревья, расширяющиеся и рандомизированные деревья, о сильноветвящихся В-деревьях и про дерево отрезков, которое помогает быстро и просто вычислять ассоциативную функцию на любом отрезке массива. Двоичные деревья поиска Сбалансированные двоичные деревья поиска N-ричные B и В+ деревья поиска Красно-чёрные деревья Хеш-таблицы В этом модуле мы познакомимся с хэшированием, научимся создавать хэш-функции, вычислять хэш-значения для разных ключей-объектов, добавлять и удалять элементы в хэш-таблицу, рассмотрим различные способы разрешения коллизий. Мы также узнаем, что такое универсальное хэширование и как сэкономить время и место, используя идеальное хэширование для статического набора ключей. Хэш-функции и хэш-таблицы Разрешение коллизий Универсальное и идеальное хэширование Префиксное дерево Зачётный англо-русский словарь Теория графов В этом модуле мы повторим основные понятия и принципы теории графов, разберём алгоритмы поиска вширь и вглубь, топологической сортировки вершин и поиск минимального скелета, изучим несколько алгоритмов поиска кратчайшего пути и решения задачи коммивояжера. На отдельном занятии мы рассмотрим алгоритмы работы с виртуальной памятью. Определения и представления Поиск и сортировка Минимальный скелет Кратчайший путь Задача коммивояжёра Управление памятью Алгоритмы на строках В этом модуле мы рассмотрим разные алгоритмы поиска шаблона в тексте, от самых примитивных до более сложных с построением бора для конечного недетерминированного автомата с возможностью поиска нескольких шаблонов за один подход. В конце модуля мы рассмотрим три алгоритма сжатия данных, а также введение в теорию криптоанализа на конкретных примерах дешифрования, обмена ключами, подбора паролей. Алгоритм Бойера-Мура Алгоритм Ахо-Корасик Алгоритм Кнута-Морриса-Пратта Алгоритмы сжатия Шифрование данных Динамическое программирование В этом модуле мы рассмотрим различные способы кэширования в некоторых языках программирования, познакомимся с методом динамического программирования и решим несколько задач. Алгоритмы кэширования Динамическое программирование Олимпиадное программирование В этом модуле мы решим несколько задач различной сложности на сайте leetcode.com. Задачи решаем разными способами, на нескольких языках программирования. Сложная задача Dancing Links Вероятностные алгоритмы Рассматриваем и решаем задачи из области больших данных вероятностными методами с использованием различных структур данных. Фильтр Блума Алгоритмы MinHash, SimHash Алгоритмы HyperLogLog, Count-Min Sketch Проектная работа Заключительный месяц курса посвящен проектной работе. Свой проект — это то, что интересно писать слушателю. То, что можно создать на основе знаний, полученных на курсе. При этом не обязательно закончить его за месяц. В процессе написания по проекту можно получить консультации преподавателей. Выбор темы и организация проектной работы Консультация по проектам и домашним заданиям Защита проектных работ Подведение итогов курса Также вы можете получить полную программу, чтобы убедиться, что обучение вам подходит Получить;104000;93600;0
revers-engineering;Reverse engineering;Научитесь находить и исправлять уязвимости своих систем и приложений Единственный практический курс на российском рынке;5;Онлайн;;На курсе вас ждет:;Низкоуровневое программирование на ассемблер под xx В данном модуле проходит экспресс-курс изучения языка Ассемблер. Изучение необходимо для получения навыков чтения дизассемблерного кода в отладчике и дизассемблере. После изучения модуля, студент научится понимать, во что превращается скомпилированная и почему она содержит именно такие данные. Регистры процессора, работа с памятью Представление данных знаковые и беззнаковые числа, символы. Основные команды ЯА Представление кода формат и опкоды команд Арифметические и логические команды Цепочечные операции Подпрограммы Дополнительное занятие Представление данных Прерывания BIOS RISС-архитектура на примере MIPS-процессоров Написание кастомного MBR Защищённый режим процессора Важный модуль, без которого невозможно будет понять принцип работы руткитов. Модуль включает в себя фундаментальные принципы работы процессора. Режимы работы процессоров. Принцип работы процессора в PM. Сегментная организация памяти Страничная организация памяти Типы дескрипторов Внутреннее устройство Windows Данный модуль включает в себя изучение строения OS Windows. Модуль обязателен для успешного анализа руткитов. Объекты ядра Менеджер памяти Диспетчер ввода-вывода Настройка рабочей среды для отладки драйверов режима ядра Системное программирование Модуль включает в себя информацию, которая необходима для анализа большинства вредоносных программ. PE формат Таблица импорта Таблица экспортаТаблица релокаций Решение crackme Ловушки Windows Перехват WinApi функций Программирование Native приложений Способы добавления в автозагрузку Программирование служб Обратная разработка программ Данный модуль посвящён изучению практических навыков анализа программ. Динамический анализ кода Статический анализ кода Разработка shell-кодов Практическое занятие ручная распаковка Практическое занятие анализ эксплойта Практическое занятие анализ вредоносного образца Уязвимость Buffer Overflow Уязвимость UAF Буткиты Проектный модуль Заключительный месяц курса посвящен проектной работе. Свой проект — это то, что интересно писать слушателю. То, что можно создать на основе знаний, полученных на курсе. При этом не обязательно закончить его за месяц. В процессе написания по проекту можно получить консультации преподавателей. Выбор темы и организация проектной работы Консультация по проектам и домашним заданиям Защита проектных работ Также вы можете получить полную программу, чтобы убедиться, что обучение вам подходит Получить;72000;0;0
